Trap_Number,Year,Month,Range_Begin,Range_End,Collection_Date,Group,Biomass,Biomass_Total,Percent_Biomass,Individual_Count,Count_Total
7,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Coleoptera,0.1,2.81,3.7,15,1119
7,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Other,0.33,2.81,11.85,86,1119
8,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hymenoptera,0.04,0.4,10.38,15,335
8,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Diptera,0.09,0.4,22.28,74,335
8,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Lepidoptera,0,0.4,0.76,1,335
8,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hemiptera,0.1,0.4,25.57,46,335
8,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Coleoptera,0.01,0.4,3.8,2,335
8,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Other,0.15,0.4,37.22,197,335
9,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hymenoptera,0.58,2.62,22.17,263,1522
9,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Diptera,0.67,2.62,25.65,393,1522
9,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Lepidoptera,0.26,2.62,10.02,9,1522
9,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hemiptera,0.3,2.62,11.31,128,1522
9,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Coleoptera,0.02,2.62,0.76,11,1522
9,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Other,0.79,2.62,30.08,718,1522
10,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hymenoptera,0.52,2.27,22.7,65,1346
10,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Diptera,0.49,2.27,21.6,213,1346
10,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Lepidoptera,0.04,2.27,1.72,6,1346
10,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hemiptera,0.31,2.27,13.55,161,1346
10,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Coleoptera,0.02,2.27,0.92,22,1346
10,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Other,0.9,2.27,39.51,879,1346
11,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hymenoptera,0,0.36,0,6,1251
11,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Diptera,0.05,0.36,13.37,80,1251
11,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Lepidoptera,0.01,0.36,3.62,3,1251
11,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hemiptera,0.01,0.36,1.67,9,1251
11,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Coleoptera,0.01,0.36,3.06,3,1251
11,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Other,0.28,0.36,78.27,1150,1251
12,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hymenoptera,0.08,0.52,15.43,38,374
12,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Diptera,0.24,0.52,46.48,214,374
12,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Lepidoptera,0.05,0.52,9.71,2,374
12,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hemiptera,0.07,0.52,14.29,60,374
12,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Coleoptera,0,0.52,0.38,2,374
12,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Other,0.07,0.52,13.71,58,374
13,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hymenoptera,0.2,2.72,7.53,114,1153
13,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Diptera,1.28,2.72,46.93,662,1153
13,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Lepidoptera,0.13,2.72,4.85,7,1153
13,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hemiptera,0.52,2.72,19.1,286,1153
13,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Coleoptera,0,2.72,0.18,2,1153
13,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Other,0.58,2.72,21.41,82,1153
14,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hymenoptera,0.26,3.33,7.83,91,6496
14,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Diptera,0.4,3.33,11.85,324,6496
14,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Lepidoptera,0.11,3.33,3.18,6,6496
14,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hemiptera,0.68,3.33,20.4,252,6496
14,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Coleoptera,0.1,3.33,3.06,14,6496
14,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Other,1.79,3.33,53.68,5809,6496
15,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hymenoptera,0.01,0.27,4.8,15,211
15,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Diptera,0.04,0.27,14.02,33,211
15,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Lepidoptera,0,0.27,0,0,211
15,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Hemiptera,0.06,0.27,20.66,28,211
15,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Coleoptera,0,0.27,0,0,211
15,2018,(Sept 29 - Oct 12),2018-09-29,2018-10-12,12/10/2018,Other,0.16,0.27,60.52,135,211
1,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.02,0.7,2.73,20,1606
1,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,0.37,0.7,53.02,626,1606
1,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.02,0.7,2.87,3,1606
1,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.01,0.7,1.87,30,1606
1,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.02,0.7,2.3,4,1606
1,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.26,0.7,37.21,923,1606
2,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.12,0.72,16.55,65,943
2,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,0.42,0.72,58.21,601,943
2,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.04,0.72,5.52,2,943
2,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.06,0.72,8.28,44,943
2,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.02,0.72,2.62,3,943
2,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.06,0.72,8.83,228,943
3,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.14,0.9,15.68,54,1028
3,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,0.33,0.9,37.15,259,1028
3,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.06,0.9,7.01,7,1028
3,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.14,0.9,15.68,88,1028
3,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.01,0.9,1.45,2,1028
3,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.21,0.9,23.03,618,1028
4,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.07,1.69,3.9,62,593
4,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,0.36,1.69,21.37,260,593
4,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.04,1.69,2.07,6,593
4,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.12,1.69,7.26,66,593
4,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.05,1.69,2.72,21,593
4,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,1.06,1.69,62.69,178,593
5,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.26,3.85,6.72,188,4557
5,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,2.21,3.85,57.33,3690,4557
5,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.32,3.85,8.38,12,4557
5,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.31,3.85,8.1,209,4557
5,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.01,3.85,0.21,8,4557
5,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.74,3.85,19.26,450,4557
6,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.17,6.56,2.64,133,3101
6,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,1.05,6.56,15.96,398,3101
6,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.38,6.56,5.72,8,3101
6,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,3.64,6.56,55.47,1652,3101
6,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.07,6.56,1.1,39,3101
6,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,1.25,6.56,19.12,871,3101
7,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.63,2.99,21.06,333,1463
7,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,1.26,2.99,41.99,664,1463
7,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.05,2.99,1.6,3,1463
7,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.68,2.99,22.77,399,1463
7,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.05,2.99,1.67,5,1463
7,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.33,2.99,10.9,59,1463
8,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.21,1.42,14.75,72,485
8,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,0.64,1.42,45.01,218,485
8,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.03,1.42,1.9,3,485
8,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.18,1.42,12.64,76,485
8,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.17,1.42,12.08,9,485
8,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.19,1.42,13.62,107,485
9,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.52,2.36,21.95,265,2222
9,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,1.04,2.36,44.28,750,2222
9,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.08,2.36,3.22,5,2222
9,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.23,2.36,9.58,109,2222
9,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.01,2.36,0.47,1,2222
9,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.48,2.36,20.51,1092,2222
10,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.09,2.43,3.53,78,745
10,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,0.26,2.43,10.76,160,745
10,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0,2.43,0.08,1,745
10,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.38,2.43,15.41,174,745
10,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,1.21,2.43,49.84,17,745
10,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.5,2.43,20.38,315,745
11,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.01,1.06,0.56,12,618
11,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,0.26,1.06,24.34,118,618
11,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.02,1.06,1.79,8,618
11,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.03,1.06,2.44,20,618
11,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.46,1.06,43.05,8,618
11,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.3,1.06,27.82,452,618
12,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.1,1.1,9.29,74,826
12,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,0.6,1.1,55.01,655,826
12,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.18,1.1,16.03,8,826
12,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.12,1.1,11.38,62,826
12,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.01,1.1,0.73,2,826
12,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.08,1.1,7.56,25,826
13,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.24,3.38,7.25,170,1702
13,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,2.07,3.38,61.27,1110,1702
13,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.23,3.38,6.78,11,1702
13,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.54,3.38,15.84,318,1702
13,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.01,3.38,0.24,3,1702
13,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.29,3.38,8.62,90,1702
14,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.26,3.06,8.4,145,2098
14,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,0.66,3.06,21.4,242,2098
14,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.05,3.06,1.63,5,2098
14,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.98,3.06,32.15,182,2098
14,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.12,3.06,4.08,20,2098
14,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.99,3.06,32.34,1504,2098
15,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hymenoptera,0.04,0.29,14.29,23,201
15,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Diptera,0.07,0.29,26.13,37,201
15,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Lepidoptera,0.04,0.29,12.2,3,201
15,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Hemiptera,0.04,0.29,13.24,29,201
15,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Coleoptera,0.02,0.29,5.57,5,201
15,2018,(Oct 13 - 26),2018-10-13,2018-10-26,26/10/2018,Other,0.08,0.29,28.57,104,201
1,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,1.7,4.18,40.65,50,686
1,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,1.34,4.18,32.04,337,686
1,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.25,4.18,6.05,14,686
1,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.27,4.18,6.55,78,686
1,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,0.35,4.18,8.39,25,686
1,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,0.26,4.18,6.31,182,686
2,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,0.59,2.1,28.27,83,838
2,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,0.84,2.1,40.17,487,838
2,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.07,2.1,3.47,18,838
2,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.03,2.1,1.33,79,838
2,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,0.25,2.1,11.99,36,838
2,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,0.31,2.1,14.75,135,838
3,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,1.38,3.51,39.35,189,705
3,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,0.86,3.51,24.52,208,705
3,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.24,3.51,6.76,6,705
3,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.14,3.51,4.05,38,705
3,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,0.68,3.51,19.5,89,705
3,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,0.2,3.51,5.82,175,705
4,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,1.01,4.23,23.84,233,2043
4,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,1.31,4.23,31.09,578,2043
4,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.11,4.23,2.67,18,2043
4,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.15,4.23,3.64,998,2043
4,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,1.56,4.23,36.84,140,2043
4,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,0.08,4.23,1.92,76,2043
5,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,24.4,30.75,79.37,497,3953
5,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,5.18,30.75,16.85,3118,3953
5,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.13,30.75,0.44,21,3953
5,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.09,30.75,0.29,60,3953
5,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,0.7,30.75,2.29,64,3953
5,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,0.23,30.75,0.76,193,3953
6,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,3.84,17.88,21.46,685,4935
6,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,9.87,17.88,55.19,3721,4935
6,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.29,17.88,1.61,47,4935
6,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.53,17.88,2.98,143,4935
6,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,1.29,17.88,7.21,221,4935
6,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,2.07,17.88,11.56,118,4935
7,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,4.69,11.3,41.48,687,1881
7,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,3.81,11.3,33.71,725,1881
7,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.14,11.3,1.23,20,1881
7,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.6,11.3,5.27,203,1881
7,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,1.04,11.3,9.19,177,1881
7,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,1.03,11.3,9.11,69,1881
8,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,2.21,5.46,40.4,136,915
8,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,2.04,5.46,37.37,341,915
8,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.1,5.46,1.76,14,915
8,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.28,5.46,5.18,59,915
8,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,0.52,5.46,9.55,50,915
8,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,0.31,5.46,5.75,315,915
9,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,4.38,8.5,51.49,199,2306
9,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,2.4,8.5,28.21,1068,2306
9,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.16,8.5,1.87,13,2306
9,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.16,8.5,1.93,37,2306
9,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,0.8,8.5,9.37,48,2306
9,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,0.61,8.5,7.13,941,2306
11,2019,(May 1 - 15),2019-05-01,2019-05-15,29/05/2019,Hymenoptera,0.22,3.17,7,30,559
11,2019,(May 1 - 15),2019-05-01,2019-05-15,29/05/2019,Diptera,1.04,3.17,32.72,268,559
11,2019,(May 1 - 15),2019-05-01,2019-05-15,29/05/2019,Lepidoptera,0.79,3.17,24.78,9,559
11,2019,(May 1 - 15),2019-05-01,2019-05-15,29/05/2019,Hemiptera,0.09,3.17,2.96,47,559
11,2019,(May 1 - 15),2019-05-01,2019-05-15,29/05/2019,Coleoptera,0.65,3.17,20.62,52,559
11,2019,(May 1 - 15),2019-05-01,2019-05-15,29/05/2019,Other,0.38,3.17,11.92,153,559
12,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,1.04,4.12,25.36,53,874
12,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,0.63,4.12,15.31,367,874
12,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.06,4.12,1.46,20,874
12,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.01,4.12,0.15,17,874
12,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,2.19,4.12,53.07,396,874
12,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,0.19,4.12,4.66,21,874
13,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,4.53,13.76,32.9,362,1226
13,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,4.83,13.76,35.08,559,1226
13,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.24,13.76,1.78,37,1226
13,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.12,13.76,0.84,62,1226
13,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,1.06,13.76,7.68,125,1226
13,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,2.99,13.76,21.73,81,1226
14,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,1.21,5.91,20.52,258,1469
14,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,2.28,5.91,38.6,765,1469
14,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.22,5.91,3.74,11,1469
14,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.16,5.91,2.64,44,1469
14,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,1.35,5.91,22.86,191,1469
14,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,0.69,5.91,11.64,200,1469
15,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,0.74,2.58,28.86,81,443
15,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,1.16,2.58,44.92,260,443
15,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.2,2.58,7.68,21,443
15,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.07,2.58,2.79,29,443
15,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,0.31,2.58,12.14,45,443
15,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,0.09,2.58,3.61,7,443
18,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,2.72,12.51,21.72,272,2693
18,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,6.88,12.51,55.02,1987,2693
18,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.33,12.51,2.61,52,2693
18,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hemiptera,0.33,12.51,2.67,121,2693
18,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Coleoptera,1.12,12.51,8.96,158,2693
18,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Other,1.13,12.51,9.02,103,2693
19,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Hymenoptera,2.47,9.08,27.21,235,3274
19,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Diptera,4.72,9.08,51.95,2783,3274
19,2019,(May 1 - 15),2019-05-01,2019-05-15,15/05/2019,Lepidoptera,0.11,9.08,1.23,21,3274
